Punto	Accion	Pedido	Referencia	Cantidad	Posicion	Codigo Mensaje	Posicion del carro	Cantidad confirmada	Hora de inicio	Hora confirmación producto
73	0					m0				
72	0					m0				
1	0					m0				
2	0					m0				
3	0					m0				
4	0					m0				
5	0					m0				
6	0					m0				
7	0					m0				
8	0					m0				
9	0					m0				
10	0					m0				
11	0					m0				
12	0					m0				
13	1	121317	31030221	10	D - C5 - N4	m1	1			
12	0				    	m0				
11	0				    	m0				
17	0				    	m0				
18	0				    	m0				
19	0				    	m0				
20	1	121318	127082720	3	E - C2 - N2	m1	2			
21	0				    	m0				
22	0				    	m0				
23	0				    	m0				
24	0				    	m0				
25	0				    	m0				
26	1	121317	127082718	7	E - C8 - N2	m1	1			
26	1	121318	127082718	5	E - C8 - N2	m1	2			
27	0				    	m0				
28	0				    	m0				
29	0				    	m0				
30	0				    	m0				
31	0				    	m0				
36	0				    	m0				
37	1	121317	305660055	9	B - C4 - N4	m1	1			
37	1	121319	305660055	4	B - C4 - N4	m1	3			
38	0				    	m0				
39	0				    	m0				
40	1	121319	303540064	5	B - C1 - N5	m1	3			
41	0				    	m0				
42	0				    	m0				
71	0				    	m0				
70	0				    	m0				
69	1	121317	127082780	2	G - C5 - N2	m1	1			
68	0				    	m0				
67	0				    	m0				
66	0				    	m0				
65	0				    	m0				
64	1	121318	127082716	8	F - C8 - N5	m1	2			
63	0				    	m2				
62	0				    	m2				
61	0				    	m2				
8	0				    	m2				
7	0				    	m2				
6	0				    	m2				
5	0				    	m2				
4	0				    	m2				
3	0				    	m2				
2	0				    	m2				
1	0				    	m2				
72	0				    	m2				
73	2					m3				
