Punto	Accion	Pedido	Referencia	Cantidad	Posicion	Codigo Mensaje	Posicion del carro	Cantidad confirmada	Hora de inicio	Hora confirmacion producto	
73	0					m0					
72	0					m0					
1	0					m0					
2	0					m0					
3	0					m0					
4	0					m0					
5	0					m0					
6	0					m0					
7	0					m0					
8	0					m0					
9	0					m0					
10	0					m0					
11	0					m0					
12	0					m0					
13	1	121314	310302213	10	D - C5 - N4	m1	1				
13	1	121315	310302213	5	D - C5 - N4	m1	2				
12	0				    	m0					
11	0				    	m0					
17	0				    	m0					
18	0				    	m0					
19	1	121315	127082748	8	E - C1 - N3	m1	2				
20	1	121314	127082720	3	E - C2 - N2	m1	1				
21	0				    	m0					
22	0				    	m0					
23	0				    	m0					
24	0				    	m0					
25	0				    	m0					
26	1	121314	127082718	7	E - C8 - N2	m1	1				
27	0				    	m0					
28	1	121516	303480062	8	C - C3 - N4	m1	3				
29	0				    	m0					
30	0				    	m0					
31	0				    	m0					
36	0				    	m0					
37	1	121314	305660055	9	B - C4 - N4	m1	1				
37	1	121516	305660055	3	B - C4 - N4	m1	3				
38	0				    	m0					
39	0				    	m0					
40	1	121314	303540064	5	B - C1 - N5	m1	1				
41	1	121315	127082745	2	A - C8 - N2	m1	2				
42	0				    	m0					
71	0				    	m0					
70	0				    	m0					
69	1	121314	127082780	2	G - C5 - N2	m1	1				
69	1	121516	127082780	4	G - C5 - N2	m1	3				
68	0				    	m0					
67	0				    	m0					
66	0				    	m0					
65	0				    	m0					
64	1	121314	127082716	8	F - C8 - N5	m1	1				
63	0				    	m2					
62	0				    	m2					
61	0				    	m2					
8	0				    	m2					
7	0				    	m2					
6	0				    	m2					
5	0				    	m2					
4	0				    	m2					
3	0				    	m2					
2	0				    	m2					
1	0				    	m2					
72	0				    	m2					
73	2					m3					
